"","subject","trial","condition","trialtype","Looks","time","time_bin","condition_num"
"284",11788555,"160","unrelated2","TCUU",0,1014.7000002861,1000,-0.5
"285",11788555,"160","cohort","TCUU",1,1014.7000002861,1000,0.5
"286",11788555,"160","unrelated","TCUU",0,1046.10000038147,1000,-0.5
"287",11788555,"160","unrelated2","TCUU",0,1046.10000038147,1000,-0.5
"288",11788555,"160","cohort","TCUU",1,1046.10000038147,1000,0.5
"289",11788555,"160","unrelated","TCUU",0,1082,1000,-0.5
"290",11788555,"160","unrelated2","TCUU",0,1082,1000,-0.5
"291",11788555,"160","cohort","TCUU",0,1082,1000,0.5
"292",11788555,"160","unrelated","TCUU",0,1113.40000009537,1100,-0.5
"293",11788555,"160","unrelated2","TCUU",0,1113.40000009537,1100,-0.5
"294",11788555,"160","cohort","TCUU",0,1113.40000009537,1100,0.5
"295",11788555,"160","unrelated","TCUU",0,1146.60000038147,1100,-0.5
"296",11788555,"160","unrelated2","TCUU",0,1146.60000038147,1100,-0.5
"297",11788555,"160","cohort","TCUU",0,1146.60000038147,1100,0.5
"298",11788555,"160","unrelated","TCUU",0,1180.30000019074,1100,-0.5
"299",11788555,"160","unrelated2","TCUU",0,1180.30000019074,1100,-0.5
"300",11788555,"160","cohort","TCUU",0,1180.30000019074,1100,0.5
"301",11788555,"160","unrelated","TCUU",0,1216.10000038147,1200,-0.5
"302",11788555,"160","unrelated2","TCUU",0,1216.10000038147,1200,-0.5
"303",11788555,"160","cohort","TCUU",0,1216.10000038147,1200,0.5
"304",11788555,"160","unrelated","TCUU",0,1250.5,1200,-0.5
"305",11788555,"160","unrelated2","TCUU",0,1250.5,1200,-0.5
"306",11788555,"160","cohort","TCUU",0,1250.5,1200,0.5
"307",11788555,"160","unrelated","TCUU",0,1284.7000002861,1200,-0.5
"308",11788555,"160","unrelated2","TCUU",0,1284.7000002861,1200,-0.5
"309",11788555,"160","cohort","TCUU",0,1284.7000002861,1200,0.5
"310",11788555,"160","unrelated","TCUU",0,1318.40000009537,1300,-0.5
"311",11788555,"160","unrelated2","TCUU",0,1318.40000009537,1300,-0.5
"312",11788555,"160","cohort","TCUU",0,1318.40000009537,1300,0.5
"313",11788555,"160","unrelated","TCUU",0,1352.80000019074,1300,-0.5
"314",11788555,"160","unrelated2","TCUU",0,1352.80000019074,1300,-0.5
"315",11788555,"160","cohort","TCUU",0,1352.80000019074,1300,0.5
"316",11788555,"160","unrelated","TCUU",0,1386.90000009537,1300,-0.5
"317",11788555,"160","unrelated2","TCUU",0,1386.90000009537,1300,-0.5
"318",11788555,"160","cohort","TCUU",0,1386.90000009537,1300,0.5
"319",11788555,"160","unrelated","TCUU",0,1417.7000002861,1400,-0.5
"320",11788555,"160","unrelated2","TCUU",0,1417.7000002861,1400,-0.5
"321",11788555,"160","cohort","TCUU",0,1417.7000002861,1400,0.5
"322",11788555,"160","unrelated","TCUU",0,1453.5,1400,-0.5
"323",11788555,"160","unrelated2","TCUU",0,1453.5,1400,-0.5
"324",11788555,"160","cohort","TCUU",0,1453.5,1400,0.5
"325",11788555,"160","unrelated","TCUU",0,1487.10000038147,1400,-0.5
"326",11788555,"160","unrelated2","TCUU",0,1487.10000038147,1400,-0.5
"327",11788555,"160","cohort","TCUU",1,1487.10000038147,1400,0.5
"328",11788555,"160","unrelated","TCUU",0,1521.60000038147,1500,-0.5
"329",11788555,"160","unrelated2","TCUU",0,1521.60000038147,1500,-0.5
"330",11788555,"160","cohort","TCUU",1,1521.60000038147,1500,0.5
"331",11788555,"160","unrelated","TCUU",0,1556.80000019074,1500,-0.5
"332",11788555,"160","unrelated2","TCUU",0,1556.80000019074,1500,-0.5
"333",11788555,"160","cohort","TCUU",1,1556.80000019074,1500,0.5
"334",11788555,"52","unrelated","TCRU",1,-68.1999998092654,-100,-0.5
"335",11788555,"52","cohort","TCRU",0,-68.1999998092654,-100,0.5
"336",11788555,"52","unrelated","TCRU",1,-36.0000000000005,-100,-0.5
"337",11788555,"52","cohort","TCRU",0,-36.0000000000005,-100,0.5
"338",11788555,"52","unrelated","TCRU",1,-0.699999809265421,-100,-0.5
"339",11788555,"52","cohort","TCRU",0,-0.699999809265421,-100,0.5
"340",11788555,"52","unrelated","TCRU",1,33.0999999046326,0,-0.5
"341",11788555,"52","cohort","TCRU",0,33.0999999046326,0,0.5
"342",11788555,"52","unrelated","TCRU",1,67.2000002861026,0,-0.5
"343",11788555,"52","cohort","TCRU",0,67.2000002861026,0,0.5
"344",11788555,"52","unrelated","TCRU",1,100.700000286103,100,-0.5
"345",11788555,"52","cohort","TCRU",0,100.700000286103,100,0.5
"346",11788555,"52","unrelated","TCRU",1,134.300000190735,100,-0.5
"347",11788555,"52","cohort","TCRU",0,134.300000190735,100,0.5
"348",11788555,"52","unrelated","TCRU",1,168.099999904633,100,-0.5
"349",11788555,"52","cohort","TCRU",0,168.099999904633,100,0.5
"350",11788555,"52","unrelated","TCRU",0,203.400000095368,200,-0.5
"351",11788555,"52","cohort","TCRU",0,203.400000095368,200,0.5
"352",11788555,"52","unrelated","TCRU",0,236.099999904633,200,-0.5
"353",11788555,"52","cohort","TCRU",0,236.099999904633,200,0.5
"354",11788555,"52","unrelated","TCRU",0,269.099999904633,200,-0.5
"355",11788555,"52","cohort","TCRU",0,269.099999904633,200,0.5
"356",11788555,"52","unrelated","TCRU",0,303.200000286103,300,-0.5
"357",11788555,"52","cohort","TCRU",0,303.200000286103,300,0.5
"358",11788555,"52","unrelated","TCRU",0,336.900000095368,300,-0.5
"359",11788555,"52","cohort","TCRU",0,336.900000095368,300,0.5
"360",11788555,"52","unrelated","TCRU",0,371.700000286103,300,-0.5
"361",11788555,"52","cohort","TCRU",0,371.700000286103,300,0.5
"362",11788555,"52","unrelated","TCRU",0,404.599999904633,400,-0.5
"363",11788555,"52","cohort","TCRU",0,404.599999904633,400,0.5
"364",11788555,"52","unrelated","TCRU",0,443.300000190735,400,-0.5
"365",11788555,"52","cohort","TCRU",0,443.300000190735,400,0.5
"366",11788555,"52","unrelated","TCRU",0,474.300000190735,400,-0.5
"367",11788555,"52","cohort","TCRU",0,474.300000190735,400,0.5
"368",11788555,"52","unrelated","TCRU",0,508.099999904633,500,-0.5
"369",11788555,"52","cohort","TCRU",0,508.099999904633,500,0.5
"370",11788555,"52","unrelated","TCRU",0,547.400000095368,500,-0.5
"371",11788555,"52","cohort","TCRU",0,547.400000095368,500,0.5
"372",11788555,"52","unrelated","TCRU",0,580.800000190735,500,-0.5
"373",11788555,"52","cohort","TCRU",0,580.800000190735,500,0.5
"374",11788555,"52","unrelated","TCRU",0,614.200000286103,600,-0.5
"375",11788555,"52","cohort","TCRU",0,614.200000286103,600,0.5
"376",11788555,"52","unrelated","TCRU",0,648,600,-0.5
"377",11788555,"52","cohort","TCRU",0,648,600,0.5
"378",11788555,"52","unrelated","TCRU",0,681.200000286103,600,-0.5
"379",11788555,"52","cohort","TCRU",0,681.200000286103,600,0.5
"380",11788555,"52","unrelated","TCRU",0,713.800000190733,700,-0.5
"381",11788555,"52","cohort","TCRU",0,713.800000190733,700,0.5
"382",11788555,"52","unrelated","TCRU",0,748.800000190733,700,-0.5
"383",11788555,"52","cohort","TCRU",0,748.800000190733,700,0.5
"384",11788555,"52","unrelated","TCRU",0,785.700000286103,700,-0.5
"385",11788555,"52","cohort","TCRU",0,785.700000286103,700,0.5
